cliente;cpf_cnpj;uf;porte_do_cliente;natureza_do_cliente;setor_cnae;data_da_contratacao;valor_desembolsado_reais;juros;prazo_amortizacao_meses;situacao_da_operacao
REVENDEDORA SUPER GAS LTDA;**.*84.877/0001-**; BA;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-10-18;49950,0;4,1;57;LIQUIDADA
CB BAHIA DISTRIBUIDORA DE BEBIDAS LTDA;**.*45.670/0001-**; BA;GRANDE;PRIVADA;COMERCIO E SERVICOS;2008-09-18;126500,0;5,3;58;LIQUIDADA
FORNECEDORA CHATUBA DE NILOPOLIS S.A.;**.*11.559/0001-**; RJ;GRANDE;PRIVADA;COMERCIO E SERVICOS;2022-10-19;3700000,0;17,58;24;LIQUIDADA
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;**.*86.817/0001-**; MG;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2003-05-09;8000,0;4,0;90;LIQUIDADA
PECUS SOLUCOES EM CARGAS LTDA;**.*04.590/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-03-15;123500,0;8,0;57;LIQUIDADA
BONAGURA PROCESSAMENTO DE DADOS SA;**.*17.973/0001-**; SP;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2007-10-25;2780000,0;7,5;12;LIQUIDADA
MAPATUR TRANSPORTES E TURISMO LTDA;**.*12.144/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2014-08-22;206135,0;6,0;57;LIQUIDADA
W. I. CONSTRUCOES E SERVICOS LTDA ME;**.*09.917/0001-**; GO;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2012-10-24;170100,0;2,5;66;LIQUIDADA
TOP CONSTRUTORA E INCORPORADORA DE EDIFICACOES LTDA;**.*73.281/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2025-11-27;60000,0;14,96;48;ATIVA
ATACADAO DAS EMBALAGENS LTDA                 (15823956);**.*23.956/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2017-07-07;112000,0;6,4;54;LIQUIDADA
RAIMUNDO AGUIAR CUNHA ME;**.*47.438/0001-**; RO;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2010-11-17;117000,0;8,0;57;LIQUIDADA
ASSOCIACAO CULTURAL E CIENTIFICA VIRVI RAMOS;**.*65.914/0001-**; RS;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2012-12-07;55290,0;2,5;96;LIQUIDADA
TECELAGEM BITENCOURT LTDA - ME;**.*74.395/0001-**; SC;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2011-12-21;33000,0;5,5;96;LIQUIDADA
DALMI FERNANDES DA SILVEIRA EPP;**.*03.710/0001-**; PA;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2014-02-17;105600,0;4,5;57;LIQUIDADA
MILENIO CONFECCAO E COMERCIO DE ROUPAS LTDA;**.*54.286/0001-**; MG;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2009-11-23;10000,0;3,0;4;LIQUIDADA
NG ASFALTOS E ENGENHARIA LTDA;**.*28.472/0001-**; GO;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2020-11-23;412000,0;5,15;54;LIQUIDADA
METHA S.A;**.*11.848/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2013-10-14;176400,0;3,0;54;LIQUIDADA
TRANS MARIA DE QUATA LTDA;**.*81.006/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2013-06-24;119030,0;3,0;66;LIQUIDADA
M. J. TRANSPORTADORA QUINTANILHA LTDA ME;**.*06.141/0001-**; RJ;MICRO;PRIVADA;COMERCIO E SERVICOS;2012-07-10;220000,0;5,5;57;LIQUIDADA
BANCO BRADESCO S.A.;**.*46.948/0001-**; GO;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2005-10-31;200000,0;8,75;48;LIQUIDADA
NOVO MUNDO CAMINHOES E EQUIPAMENTOS RODOVIARIO LTDA;**.*40.303/0001-**; PE;MICRO;PRIVADA;COMERCIO E SERVICOS;2009-08-13;94000,0;7,0;54;LIQUIDADA
SERGIO ROBERTO ANTONIO EPP;**.*92.668/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2008-12-10;90000,0;5,9;48;LIQUIDADA
MAXIACO INDUSTRIA METALURGICA LTDA;**.*63.530/0001-**; RS;PEQUENA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2010-03-01;19500,0;4,5;96;LIQUIDADA
JSL S.A.;**.*48.435/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2011-01-28;74000,0;4,7;90;LIQUIDADA
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;**.*16.560/0001-**; SC;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2005-04-15;6000,0;4,0;60;LIQUIDADA
R. BARBOSA COM. DE BEBIDAS LTDA;**.*79.447/0001-**; RO;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2024-10-23;20000,0;16,39;48;ATIVA
BARROS & CORREA LTDA;**.*15.351/0001-**; SC;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2016-10-20;101060,0;5,6;45;LIQUIDADA
CENTRAL VEICULOS DE ALAGOAS LTDA - EPP;**.*34.988/0001-**; AL;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2013-05-21;389500,0;3,0;54;LIQUIDADA
JSL S.A.;**.*48.435/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2018-11-26;103600,0;3,85;54;LIQUIDADA
EXTREMOESTE AGENCIA DE VIAGENS E TURISMO LTDA;**.*59.892/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2009-11-25;102000,0;7,0;54;LIQUIDADA
BETHA PAPELARIA E ARMARINHOS LTDA - ME;**.*96.860/0001-**; SP;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2015-04-17;72003,0;18,39;42;LIQUIDADA
TRANSPORTADORA EQUADOR LTDA;**.*92.373/0001-**; PR;GRANDE;PRIVADA;COMERCIO E SERVICOS;2018-05-29;61600,0;4,13;33;LIQUIDADA
TREVISO TRANSPORTES E ALUGUEL DE MAQUINAS LTDA;**.*00.454/0001-**; BA;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2010-10-15;270000,0;5,5;54;LIQUIDADA
TRANSTUPI TRANSPORTE COLETIVO LTDA.;**.*15.198/0001-**; PR;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2006-01-16;417600,0;3,5;33;LIQUIDADA
TRANSPORTES DALCOQUIO LTDA;**.*00.540/0001-**; SC;GRANDE;PRIVADA;COMERCIO E SERVICOS;2007-03-23;350000,0;5,8;48;LIQUIDADA
MASTER INDUSRIA COMERCIO DE ALIMENTOS LTDA;**.*54.199/0001-**; MG;PEQUENA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2012-07-26;156000,0;3,8;33;LIQUIDADA
CAIRU INDUSTRIA DE BICICLETAS LTDA     (10288920000100);**.*88.920/0001-**; RO;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2013-01-16;31500,0;3,0;54;LIQUIDADA
SUL CONTINENTAL TRANSPORTES LTDA;**.*82.525/0001-**; SC;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2011-12-26;355376,0;3,9;33;LIQUIDADA
KARISMA COMERCIO DE MATERIAIS DE ESCRITORIO E INFORMAT;**.*09.963/0001-**; SP;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2011-07-13;79400,0;10,0;57;LIQUIDADA
RASIP ALIMENTOS LTDA;**.*89.468/0001-**; RS;GRANDE;PRIVADA;COMERCIO E SERVICOS;2007-08-28;2673000,0;4,0;108;LIQUIDADA
GAPY RECAPAGENS DE PNEUS LTDA;**.*93.508/0001-**; MT;PEQUENA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2013-09-30;19952,0;3,5;108;LIQUIDADA
BANCO DO ESTADO DO RIO GRANDE DO SUL SA;**.*02.067/0001-**; RS;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2007-02-07;5548,0;8,75;36;LIQUIDADA
EDIS MARIO TRIZI ME;**.*58.750/0001-**; PR;MICRO;PRIVADA;COMERCIO E SERVICOS;2017-05-25;145000,0;6,1;57;LIQUIDADA
MILA TRANSPORTES LTDA;**.*75.084/0001-**; ES;GRANDE;PRIVADA;COMERCIO E SERVICOS;2017-01-06;97300,0;4,0;42;LIQUIDADA
MARCOPOLO SA;**.*11.835/0001-**; RS;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2009-10-19;51200,0;4,5;48;LIQUIDADA
CESCOM CESCONETO COMERCIAL LTDA;**.*24.509/0001-**; ES;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2004-09-27;73600,0;5,0;36;LIQUIDADA
ROMI S.A.;**.*20.428/0001-**; SP;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2008-12-16;122850,0;4,4;48;LIQUIDADA
BARAUNA COMERCIO E INDUSTRIA LTDA EPP;**.*08.638/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2010-07-16;96000,0;5,9;57;LIQUIDADA
KION SOUTH AMERICA FABRICACAO DE EQUIPAMENTOS PARA ARMA;**.*65.296/0001-**; SP;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2014-09-19;198660,0;6,0;21;LIQUIDADA
GALBER EMPREENDIMENTOS LTDA;**.*60.400/0001-**; RJ;MICRO;PRIVADA;COMERCIO E SERVICOS;2014-07-10;184500,0;6,0;57;LIQUIDADA
RODORIBEIRO TRANSPORTES LTDA;**.*36.672/0001-**; PR;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2022-03-17;770000,0;15,78;63;LIQUIDADA
BANCO DO BRASIL SA;**.*00.000/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2005-06-15;2640,0;8,75;48;LIQUIDADA
BANCO DO BRASIL SA;**.*00.000/0001-**; BA;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2003-05-06;75263,0;8,75;48;LIQUIDADA
ROTA 381 TRANSPORTES LTDA;**.*91.638/0001-**; MG;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2017-02-16;181994,0;4,6;57;LIQUIDADA
ESCANDINAVIA VEICULOS LTDA;**.*41.111/0001-**; MG;GRANDE;PRIVADA;COMERCIO E SERVICOS;2024-11-25;738000,0;2,73;72;ATIVA
R. LAZZARIN & CIA LTDA;**.*49.293/0001-**; PR;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2020-01-23;100000,0;13,79;18;LIQUIDADA
DIRLENE & FILHOS TRANSPORTES LTDA;**.*48.208/0001-**; MG;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2019-03-29;127000,0;5,78;57;LIQUIDADA
UNESUL DE TRANSPORTES LTDA;**.*67.948/0001-**; RS;GRANDE;PRIVADA;COMERCIO E SERVICOS;2011-10-28;727244,0;3,4;54;LIQUIDADA
ESMALTEC S/A;**.*48.030/0001-**; CE;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2010-05-05;1865600,0;4,5;48;LIQUIDADA
TRANSPORTES FEIO LTDA;**.*63.390/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2010-03-18;135000,0;7,0;45;LIQUIDADA
RODOLFO BRUNO ZABIM EIRELI;**.*90.480/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2018-10-26;19500,0;5,98;30;LIQUIDADA
HUGO & ROSIMEIRE MARCENARIA LTDA;**.*23.968/0001-**; MG;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2013-10-14;129900,0;4,0;57;LIQUIDADA
TRANSPORTES BAGGETO LTDA;**.*04.723/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2007-02-27;225024,0;2,5;48;LIQUIDADA
DETALHES MATERIAIS PARA CONSTRUCAO LTDA;**.*94.026/0001-**; SP;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2018-12-17;161000,0;5,78;57;LIQUIDADA
ACQUASUL POCOS ARTESIANOS LTDA;**.*82.971/0001-**; PR;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2017-12-15;167200,0;5,8;42;LIQUIDADA
CONECTA EMPREENDIMENTOS LTDA;**.*25.890/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2016-05-23;17220,0;6,0;54;LIQUIDADA
BANCO COOPERATIVO SICREDI S.A.;**.*81.521/0001-**; RS;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2005-03-11;2100,0;4,0;60;ATIVA
ADRIANO HILLESHAIM LUZZI;**.*81.737/0001-**; SC;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2022-09-19;8000,0;1,25;24;LIQUIDADA
EDIR FELIX DE MARCO;**.*22.227/0001-**; SC;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2013-08-21;327000,0;4,0;114;LIQUIDADA
COMERCIAL DE ALIMENTOS BERNARDO LTDA;**.*85.995/0001-**; DF;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2009-05-25;71160,0;4,9;60;LIQUIDADA
ANACLETE KOTHE E CIA LTDA;**.*04.584/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2008-01-17;153750,0;4,5;42;LIQUIDADA
AMBEV S.A.;**.*26.557/0001-**; SP;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2009-03-30;165248,0;2,15;48;LIQUIDADA
ROMI S.A.;**.*20.428/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2007-08-09;211500,0;4,5;42;LIQUIDADA
CAMATTARI & SARTORI AUTO CENTER LTDA;**.*19.293/0001-**; SP;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2007-03-28;33009,0;7,0;54;LIQUIDADA
RUDNICK MINERIOS LTDA;**.*79.093/0001-**; SC;PEQUENA;PRIVADA;INDUSTRIA EXTRATIVA;2011-01-05;495000,0;5,5;54;LIQUIDADA
DELTA M V N COMERCIO E SERVICOS LTDA EPP;**.*63.356/0001-**; RJ;MICRO;PRIVADA;COMERCIO E SERVICOS;2013-04-03;171000,0;2,5;45;LIQUIDADA
ATENAS ASSESSORIA E CONSULTORIA LTDA;**.*95.196/0001-**; MG;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2006-02-13;138864,0;4,0;36;LIQUIDADA
FUND - REP FUNDICAO IND E COM LTDA;**.*30.304/0001-**; SP;PEQUENA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2009-11-09;240000,0;4,5;54;LIQUIDADA
CONSTRUCAO E CIA LTDA;**.*63.142/0001-**; MG;MICRO;PRIVADA;COMERCIO E SERVICOS;2015-06-18;6599,0;17,87;57;LIQUIDADA
JEITO DE MINAS, RESTAURANTE, EMPORIO & CIA LTDA;**.*83.680/0001-**; MG;MICRO;PRIVADA;COMERCIO E SERVICOS;2020-12-07;50000,0;9,25;57;LIQUIDADA
COSTA TEIXEIRA TRANSPORTES LTDA;**.*07.427/0001-**; PR;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2010-05-11;375000,0;7,0;33;LIQUIDADA
D & L LOCACAO DE EQUIPAMENTOS LTDA;**.*68.264/0001-**; PR;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2024-07-31;150000,0;25,43;60;LIQUIDADA
AGAZZI & CIA LTDA;**.*97.289/0001-**; SC;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2016-02-15;157500,0;4,22;57;LIQUIDADA
MAGALHAES E MAGALHAES LTDA;**.*39.210/0001-**; TO;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-04-29;14070,0;5,9;57;LIQUIDADA
CLARAMAX INDUSTRIA E COMERCIO DE PAPEIS LTDA;**.*71.187/0001-**; RS;MÉDIA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2012-11-01;285025,0;2,5;96;LIQUIDADA
LEONARDO TOSO;**.*27.676/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2022-11-03;30000,0;13,13;120;ATIVA
BRASIF LOCADORA LTDA;**.*16.010/0001-**; MG;GRANDE;PRIVADA;COMERCIO E SERVICOS;2012-12-14;59391,0;2,5;48;LIQUIDADA
SEVERO TRANSPORTES E TURISMO LTDA;**.*74.414/0001-**; MG;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2013-03-05;222000,0;3,0;57;LIQUIDADA
LIDERMAC TRANSPORTES LTDA;**.*86.713/0001-**; PE;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2008-01-24;531000,0;1,9;60;LIQUIDADA
VHR PASSAGENS AEREAS E CARGAS LTDA;**.*15.267/0001-**; SP;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2009-05-11;348000,0;4,2;36;LIQUIDADA
LIA MODAS LTDA ME;**.*05.710/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2013-06-06;98931,0;5,5;96;LIQUIDADA
SAVANA ARMAZENS GERAIS LTDA ME;**.*80.507/0001-**; GO;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-05-23;138600,0;3,09;57;LIQUIDADA
ROBSON JUSTINO DA SILVA;**.*74.960/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2024-01-11;50000,0;5,81;36;LIQUIDADA
CERAMICA CIMACO LTDA;**.*86.108/0001-**; ES;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2015-10-07;17101,0;22,79;54;LIQUIDADA
BANCO COOPERATIVO SICREDI S.A.;**.*81.521/0001-**; RS;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2008-05-07;18000,0;5,5;84;LIQUIDADA
BANCO COOPERATIVO SICOOB S.A.;**.*38.232/0001-**; MG;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2003-02-15;47060,0;8,75;48;LIQUIDADA
ATEM'S DISTRIBUIDORA DE PETROLEO S.A.;**.*87.364/0001-**; AM;GRANDE;PRIVADA;COMERCIO E SERVICOS;2019-05-13;1330800,0;4,81;54;LIQUIDADA
CENTER PLACAS IND COM COMPENSADOS LTDA;**.*55.892/0001-**; PR;MICRO;PRIVADA;COMERCIO E SERVICOS;2003-12-15;90780,0;6,0;48;LIQUIDADA
ROMI S.A.;**.*20.428/0001-**; SP;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2016-01-28;206500,0;4,6;45;LIQUIDADA
IRMAOS HILLESHEIN COMERCIO DE MADEIRA LTDA EPP;**.*28.048/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2013-02-05;65400,0;2,5;57;LIQUIDADA
GUAPIARA MINERACAO INDUSTRIA E COMERCIO LTDA;**.*99.494/0001-**; SP;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2006-10-03;684000,0;4,0;42;LIQUIDADA
TRANSPORTES RODOVIARIOS LETSARA LTDA;**.*37.732/0001-**; RS;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2014-10-02;300000,0;6,0;114;LIQUIDADA
MIM MAQUINAS LTDA;**.*68.883/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2022-08-18;7000,0;12,93;60;ATIVA
BANCO DO BRASIL SA;**.*00.000/0001-**; PR;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2006-06-21;21032,0;8,75;84;LIQUIDADA
EUNILDO ROQUE DE ALMEIDA & CIA LTDA;**.*04.982/0001-**; PR;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2012-03-07;74250,0;3,9;45;LIQUIDADA
BANCO SANTANDER (BRASIL) S.A.;**.*00.888/0001-**; MS;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2007-04-20;132954,0;3,0;60;LIQUIDADA
NUTRAK - INDUSTRIA E COMERCIO DE ALIMENTOS PARA ANIMAIS;**.*03.835/0001-**; MT;MÉDIA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2015-06-16;114100,0;7,0;54;LIQUIDADA
BAZAR E MATERIAL DE C DUVIMART LTDA ME;**.*81.027/0001-**; RJ;MICRO;PRIVADA;COMERCIO E SERVICOS;2010-10-05;112000,0;8,0;57;LIQUIDADA
METALURGICA VENANCIO LTDA;**.*99.359/0001-**; RS;GRANDE;PRIVADA;COMERCIO E SERVICOS;2013-05-15;71820,0;3,0;96;LIQUIDADA
TRANSMASUT TRANSPORTES LTDA;**.*81.221/0001-**; GO;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2010-11-11;263600,0;8,0;45;LIQUIDADA
USINA ITAJOBI LTDA - ACUCAR E ALCOOL;**.*33.819/0001-**; SP;MÉDIA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2006-12-12;885943,0;6,5;45;LIQUIDADA
VIACAO SANTA TEREZA DE CAXIAS DO SUL LTDA;**.*67.424/0001-**; RS;GRANDE;PRIVADA;COMERCIO E SERVICOS;2007-07-03;488000,0;3,15;24;LIQUIDADA
SELENE INDUSTRIA TEXTIL S/A;**.*54.545/0001-**; SP;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2009-12-23;8000000,0;5,0;24;LIQUIDADA
ALBUQUERQUE PNEUS LTDA;**.*17.785/0001-**; PE;GRANDE;PRIVADA;COMERCIO E SERVICOS;2014-12-16;255000,0;6,0;114;LIQUIDADA
PITANGUEIRAS ACUCAR E ALCOOL LTDA;**.*70.939/0001-**; SP;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2016-12-02;1218000,0;4,5;36;LIQUIDADA
TIME MINAS TRANSPORTES LTDA;**.*07.792/0001-**; MG;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2004-09-20;182720,0;8,0;24;LIQUIDADA
BANCO DO BRASIL SA;**.*00.000/0001-**; PR;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2004-04-06;118090,0;8,75;60;LIQUIDADA
